"3/26/2013 10:47 AM";"3/26/2013 10:48 AM";"Sensor Error";"CHTN";"Wireless Logger";"300051";"S3";"177212 -20c Freezer";"176933 Ambient Room Temp";"24.6";"°C";"0";"177121 -20c Freezer";"NaN";"";"6";"177212 -20c Freezer";"NaN";"";"6";"177188 4c Fridge";"NaN";"";"0";"177139 -80c Freezer";"NaN";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/26/2013 10:47 AM";"3/26/2013 10:48 AM";"Sensor Error";"CHTN";"Wireless Logger";"300051";"S4";"177188 4c Fridge";"176933 Ambient Room Temp";"24.6";"°C";"0";"177121 -20c Freezer";"NaN";"";"6";"177212 -20c Freezer";"NaN";"";"6";"177188 4c Fridge";"NaN";"";"6";"177139 -80c Freezer";"NaN";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/26/2013 10:47 AM";"3/26/2013 10:48 AM";"Sensor Error";"CHTN";"Wireless Logger";"300051";"S5";"177139 -80c Freezer";"176933 Ambient Room Temp";"24.6";"°C";"0";"177121 -20c Freezer";"NaN";"";"6";"177212 -20c Freezer";"NaN";"";"6";"177188 4c Fridge";"NaN";"";"6";"177139 -80c Freezer";"NaN";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/26/2013 10:49 AM";"";"Acknowledged: Sensor Error";"CHTN";"Wireless Logger";"300051";"S5";"177139 -80c Freezer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM  ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/26/2013 10:49 AM";"";"Acknowledged: Sensor Error";"CHTN";"Wireless Logger";"300051";"S2";"177121 -20c Freezer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM  ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/26/2013 10:49 AM";"";"Acknowledged: Sensor Error";"CHTN";"Wireless Logger";"300051";"S4";"177188 4c Fridge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM  ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/26/2013 10:49 AM";"";"Acknowledged: Sensor Error";"CHTN";"Wireless Logger";"300051";"S3";"177212 -20c Freezer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM  ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/26/2013 10:50 AM";"3/26/2013 10:51 AM";"Sensor OK";"CHTN";"Wireless Logger";"300051";"S2";"177121 -20c Freezer";"176933 Ambient Room Temp";"24.6";"°C";"0";"177121 -20c Freezer";"22.6";"°C";"0";"177212 -20c Freezer";"-21.9";"°C";"7";"177188 4c Fridge";"4.9";"°C";"7";"177139 -80c Freezer";"-85.0";"°C";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/26/2013 10:50 AM";"3/26/2013 10:51 AM";"Sensor OK";"CHTN";"Wireless Logger";"300051";"S3";"177212 -20c Freezer";"176933 Ambient Room Temp";"24.6";"°C";"0";"177121 -20c Freezer";"22.6";"°C";"0";"177212 -20c Freezer";"-21.9";"°C";"0";"177188 4c Fridge";"4.9";"°C";"7";"177139 -80c Freezer";"-85.0";"°C";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/26/2013 10:50 AM";"3/26/2013 10:51 AM";"Sensor OK";"CHTN";"Wireless Logger";"300051";"S4";"177188 4c Fridge";"176933 Ambient Room Temp";"24.6";"°C";"0";"177121 -20c Freezer";"22.6";"°C";"0";"177212 -20c Freezer";"-21.9";"°C";"0";"177188 4c Fridge";"4.9";"°C";"0";"177139 -80c Freezer";"-85.0";"°C";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/26/2013 10:50 AM";"3/26/2013 10:51 AM";"Sensor OK";"CHTN";"Wireless Logger";"300051";"S5";"177139 -80c Freezer";"176933 Ambient Room Temp";"24.6";"°C";"0";"177121 -20c Freezer";"22.6";"°C";"0";"177212 -20c Freezer";"-21.9";"°C";"0";"177188 4c Fridge";"4.9";"°C";"0";"177139 -80c Freezer";"-85.0";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
