"Loggerprotocol: elproLOG MONITOR 3.63.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Logger id";"Logger name";"Pc time";"Logger time";"Logger state";"S1-Name";"S1-Value";"S1-Unit";"S1-Status";"S2-Name";"S2-Value";"S2-Unit";"S2-Status";"S3-Name";"S3-Value";"S3-Unit";"S3-Status";"S4-Name";"S4-Value";"S4-Unit";"S4-Status";"S5-Name";"S5-Value";"S5-Unit";"S5-Status";"S6-Name";"S6-Value";"S6-Unit";"S6-Status";"S7-Name";"S7-Value";"S7-Unit";"S7-Status";"S8-Name";"S8-Value";"S8-Unit";"S8-Status";"D1-Name";"D1-Value";"D1-Text value";"D1-Status";"D2-Name";"D2-Value";"D2-Text value";"D2-Status";"";""
"300051";"Wireless Logger";"1/29/2019 2:00 PM";"1/29/2019 2:05 PM";"0";"051.01.567.AMB.ENV";"17.9";"°C";"0";"051.02.570.PNS.888";"-84.2";"°C";"0";"051.03.567.THM.309";"-23.4";"°C";"0";"051.04.566.SMT.0158";"7.4";"°C";"0";"051.05.567.SCI.196";"-76.0";"°C";"0";"051.06.567.HRS.2YJ";"-85.9";"°C";"0";"051.07.567.PNS.152";"-78.8";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"300051";"Wireless Logger";"1/29/2019 2:03 PM";"1/29/2019 2:08 PM";"0";"051.01.567.AMB.ENV";"17.9";"°C";"0";"051.02.570.PNS.888";"-83.8";"°C";"0";"051.03.567.THM.309";"-22.9";"°C";"0";"051.04.566.SMT.0158";"7.5";"°C";"0";"051.05.567.SCI.196";"-75.3";"°C";"0";"051.06.567.HRS.2YJ";"-82.8";"°C";"0";"051.07.567.PNS.152";"-78.7";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"300051";"Wireless Logger";"1/29/2019 2:06 PM";"1/29/2019 2:11 PM";"0";"051.01.567.AMB.ENV";"17.6";"°C";"0";"051.02.570.PNS.888";"-83.0";"°C";"0";"051.03.567.THM.309";"-21.9";"°C";"0";"051.04.566.SMT.0158";"7.8";"°C";"0";"051.05.567.SCI.196";"-75.7";"°C";"0";"051.06.567.HRS.2YJ";"-80.1";"°C";"0";"051.07.567.PNS.152";"-78.5";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"300051";"Wireless Logger";"1/29/2019 2:09 PM";"1/29/2019 2:14 PM";"0";"051.01.567.AMB.ENV";"17.6";"°C";"0";"051.02.570.PNS.888";"-82.3";"°C";"0";"051.03.567.THM.309";"-22.7";"°C";"0";"051.04.566.SMT.0158";"7.9";"°C";"0";"051.05.567.SCI.196";"-76.8";"°C";"0";"051.06.567.HRS.2YJ";"-80.0";"°C";"0";"051.07.567.PNS.152";"-78.4";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"300051";"Wireless Logger";"1/29/2019 2:12 PM";"1/29/2019 2:17 PM";"0";"051.01.567.AMB.ENV";"17.7";"°C";"0";"051.02.570.PNS.888";"-82.3";"°C";"0";"051.03.567.THM.309";"-22.7";"°C";"0";"051.04.566.SMT.0158";"7.9";"°C";"0";"051.05.567.SCI.196";"-76.8";"°C";"0";"051.06.567.HRS.2YJ";"-80.0";"°C";"0";"051.07.567.PNS.152";"-78.4";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"300051";"Wireless Logger";"1/29/2019 2:15 PM";"1/29/2019 2:20 PM";"0";"051.01.567.AMB.ENV";"17.7";"°C";"0";"051.02.570.PNS.888";"-81.4";"°C";"0";"051.03.567.THM.309";"-23.2";"°C";"0";"051.04.566.SMT.0158";"8.1";"°C";"0";"051.05.567.SCI.196";"-76.6";"°C";"0";"051.06.567.HRS.2YJ";"-83.2";"°C";"0";"051.07.567.PNS.152";"-78.4";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"300051";"Wireless Logger";"1/29/2019 2:18 PM";"1/29/2019 2:23 PM";"0";"051.01.567.AMB.ENV";"18.3";"°C";"0";"051.02.570.PNS.888";"-81.1";"°C";"0";"051.03.567.THM.309";"-23.2";"°C";"0";"051.04.566.SMT.0158";"8.2";"°C";"0";"051.05.567.SCI.196";"-76.3";"°C";"0";"051.06.567.HRS.2YJ";"-85.2";"°C";"0";"051.07.567.PNS.152";"-78.6";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"300051";"Wireless Logger";"1/29/2019 2:21 PM";"1/29/2019 2:26 PM";"0";"051.01.567.AMB.ENV";"18.0";"°C";"0";"051.02.570.PNS.888";"-81.9";"°C";"0";"051.03.567.THM.309";"-21.9";"°C";"0";"051.04.566.SMT.0158";"8.3";"°C";"0";"051.05.567.SCI.196";"-76.8";"°C";"0";"051.06.567.HRS.2YJ";"-86.3";"°C";"0";"051.07.567.PNS.152";"-78.8";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"300051";"Wireless Logger";"1/29/2019 2:24 PM";"1/29/2019 2:29 PM";"0";"051.01.567.AMB.ENV";"17.8";"°C";"0";"051.02.570.PNS.888";"-81.9";"°C";"0";"051.03.567.THM.309";"-21.9";"°C";"0";"051.04.566.SMT.0158";"8.3";"°C";"0";"051.05.567.SCI.196";"-76.8";"°C";"0";"051.06.567.HRS.2YJ";"-86.3";"°C";"0";"051.07.567.PNS.152";"-78.8";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"300051";"Wireless Logger";"1/29/2019 2:27 PM";"1/29/2019 2:32 PM";"0";"051.01.567.AMB.ENV";"17.8";"°C";"0";"051.02.570.PNS.888";"-83.5";"°C";"0";"051.03.567.THM.309";"-22.5";"°C";"0";"051.04.566.SMT.0158";"8.2";"°C";"0";"051.05.567.SCI.196";"-77.5";"°C";"0";"051.06.567.HRS.2YJ";"-84.8";"°C";"0";"051.07.567.PNS.152";"-78.9";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"300051";"Wireless Logger";"1/29/2019 2:30 PM";"1/29/2019 2:35 PM";"0";"051.01.567.AMB.ENV";"17.9";"°C";"0";"051.02.570.PNS.888";"-84.1";"°C";"0";"051.03.567.THM.309";"-23.2";"°C";"0";"051.04.566.SMT.0158";"7.6";"°C";"0";"051.05.567.SCI.196";"-77.2";"°C";"0";"051.06.567.HRS.2YJ";"-81.7";"°C";"0";"051.07.567.PNS.152";"-78.8";"°C";"0";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
