"Loggerprotocol: elproLOG MONITOR 3.63.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Logger id";"Logger name";"Pc time";"Logger time";"Logger state";"S1-Name";"S1-Value";"S1-Unit";"S1-Status";"S2-Name";"S2-Value";"S2-Unit";"S2-Status";"S3-Name";"S3-Value";"S3-Unit";"S3-Status";"S4-Name";"S4-Value";"S4-Unit";"S4-Status";"S5-Name";"S5-Value";"S5-Unit";"S5-Status";"S6-Name";"S6-Value";"S6-Unit";"S6-Status";"S7-Name";"S7-Value";"S7-Unit";"S7-Status";"S8-Name";"S8-Value";"S8-Unit";"S8-Status";"D1-Name";"D1-Value";"D1-Text value";"D1-Status";"D2-Name";"D2-Value";"D2-Text value";"D2-Status";"";""
"10339";"Room 566";"1/29/2019 2:00 PM";"1/29/2019 2:01 PM";"0";"339.01.566.THM.403";"-79.3";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.4";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:03 PM";"1/29/2019 2:04 PM";"0";"339.01.566.THM.403";"-79.2";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.2";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:06 PM";"1/29/2019 2:07 PM";"0";"339.01.566.THM.403";"-79.5";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.1";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:09 PM";"1/29/2019 2:10 PM";"0";"339.01.566.THM.403";"-79.9";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.0";"°C";"0";"339.04.WLK.AMB.ENV";"2.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:12 PM";"1/29/2019 2:13 PM";"0";"339.01.566.THM.403";"-80.1";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"19.8";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:15 PM";"1/29/2019 2:16 PM";"0";"339.01.566.THM.403";"-79.9";"°C";"0";"339.02.566.PNS.165";"-78.6";"°C";"0";"339.03.566.AMB.ENV";"19.6";"°C";"0";"339.04.WLK.AMB.ENV";"2.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:18 PM";"1/29/2019 2:19 PM";"0";"339.01.566.THM.403";"-79.5";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.4";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:21 PM";"1/29/2019 2:22 PM";"0";"339.01.566.THM.403";"-79.2";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.3";"°C";"0";"339.04.WLK.AMB.ENV";"2.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:24 PM";"1/29/2019 2:25 PM";"0";"339.01.566.THM.403";"-79.5";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.1";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:27 PM";"1/29/2019 2:28 PM";"0";"339.01.566.THM.403";"-79.8";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.2";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:30 PM";"1/29/2019 2:31 PM";"0";"339.01.566.THM.403";"-80.2";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.5";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:33 PM";"1/29/2019 2:34 PM";"0";"339.01.566.THM.403";"-80.2";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"19.9";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:36 PM";"1/29/2019 2:37 PM";"0";"339.01.566.THM.403";"-79.9";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"20.0";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:39 PM";"1/29/2019 2:40 PM";"0";"339.01.566.THM.403";"-79.5";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.3";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:42 PM";"1/29/2019 2:43 PM";"0";"339.01.566.THM.403";"-79.2";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.2";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:45 PM";"1/29/2019 2:46 PM";"0";"339.01.566.THM.403";"-79.5";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"17.9";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:48 PM";"1/29/2019 2:49 PM";"0";"339.01.566.THM.403";"-79.9";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"18.0";"°C";"0";"339.04.WLK.AMB.ENV";"2.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"10339";"Room 566";"1/29/2019 2:51 PM";"1/29/2019 2:52 PM";"0";"339.01.566.THM.403";"-80.1";"°C";"0";"339.02.566.PNS.165";"-78.5";"°C";"0";"339.03.566.AMB.ENV";"19.8";"°C";"0";"339.04.WLK.AMB.ENV";"2.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
