"Loggerprotocol: elproLOG MONITOR 3.63.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:45 PM";"1/29/2019 2:46 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:48 PM";"1/29/2019 2:49 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:51 PM";"1/29/2019 2:52 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.1";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:54 PM";"1/29/2019 2:55 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.1";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:57 PM";"1/29/2019 2:58 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 3:00 PM";"1/29/2019 3:01 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.1";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 3:03 PM";"1/29/2019 3:04 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.1";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 3:06 PM";"1/29/2019 3:07 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.0";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 3:09 PM";"1/29/2019 3:10 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.0";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 3:12 PM";"1/29/2019 3:13 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.7";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 3:15 PM";"1/29/2019 3:16 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"15.0";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 3:18 PM";"1/29/2019 3:19 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 3:21 PM";"1/29/2019 3:22 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 3:24 PM";"1/29/2019 3:25 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 3:27 PM";"1/29/2019 3:28 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
